id,file,name,power,helps
1,Screenshot_20250618-233140.png,27WNoNooo,"3,597,036","3,314"
2,Screenshot_20250618-233148.png,Elite Game,"2,460,967","3,688"
3,Screenshot_20250618-233152.png,zw Vlad44,"5,770,414","3,739"
4,Screenshot_20250618-233158.png,zWioker,"3,960,124","3,339"
5,Screenshot_20250618-233203.png,2W Azarya,"3,249,523","5,843"
6,Screenshot_20250618-233208.png,Z7WDEXTER:},"3,130,208","3,266"
7,Screenshot_20250618-233215.png,7WAndy Car,"3,129,019","4,452"
8,Screenshot_20250618-233220.png,aW7enitsu,"4,163,214","6,012"
9,Screenshot_20250618-233225.png,zwinSenul,"4,056,545","2,539"
10,Screenshot_20250618-233232.png,zwCforKat,"4,135,432","5,459"
11,Screenshot_20250618-233238.png,emino2,"3,672,217","1,805"
12,Screenshot_20250618-233246.png,7WoOPeantu,"3,633,487","4,222"
13,Screenshot_20250618-233251.png,zwSotan,"3,520,309","4,516"
14,Screenshot_20250618-233256.png,BARBROSS,"3,622,434",669
15,Screenshot_20250618-233301.png,2W Baxa,"3,495,943","2,851"
16,Screenshot_20250618-233306.png,zwMilante,"3,449,046","3,256"
17,Screenshot_20250618-233310.png,2WAres FPT,"3,370,133","4,810"
18,Screenshot_20250618-233315.png,GoldenCro,"3,414,617","4,931"
19,Screenshot_20250618-233320.png,ELDE SAUZ,"3,333,710","4,286"
20,Screenshot_20250618-233338.png,ZzWStitch,"3,328,546","1,745"
21,Screenshot_20250618-233344.png,mWwaxe,"3,310,644",Eley
22,Screenshot_20250618-233348.png,2 biraa,"3,292,689","4,748"
23,Screenshot_20250618-233353.png,2~ YURI,"3,245,014","3,021"
24,Screenshot_20250618-233401.png,Muhammac,"3,278,318","3,969"
25,Screenshot_20250618-233409.png,DGicarusSs,"3,217,052","3,004"
26,Screenshot_20250618-233434.png,zW BaeShar,725.255,996
27,Screenshot_20250618-233438.png,Z~DoanBac,"3,120,394","2,928"
28,Screenshot_20250618-233444.png,DGpDragon3,"3,209,490","6,410"
29,Screenshot_20250618-233448.png,zwOuinny,"3,103,899","2,599"
30,Screenshot_20250618-233453.png,2W Lavor,"3,044,554","6,522"
31,Screenshot_20250618-233458.png,Amir Al Ari,"3,022,352","4,312"
32,Screenshot_20250618-233503.png,RGyjenEx,received,"2,669"
33,Screenshot_20250618-233508.png,The HOME!,"3,015,146","3,814"
34,Screenshot_20250618-233512.png,DanG RoK,"3,001,444","6,272"
35,Screenshot_20250618-233521.png,Mandume,"3,006,044","2,940"
36,Screenshot_20250618-233605.png,luisbmos,"2,983,904","3,278"
37,Screenshot_20250618-233613.png,BLvCKCarl,"3,350,802","3,259"
38,Screenshot_20250618-233617.png,ZWKiinzZ,"2,731,993","3,566"
39,Screenshot_20250618-233622.png,ZWS2WOLF,"3,056,499","3,198"
40,Screenshot_20250618-233628.png,Ty Anh,"3,027,756",406
41,Screenshot_20250618-233633.png,zWPapoyyy,"2,870,365","1,565"
42,Screenshot_20250618-233638.png,Nik082,"2,903,301","1,886"
43,Screenshot_20250618-233643.png,RGOgpy,"2,864,010","3,287"
44,Screenshot_20250618-233658.png,Dolkosh,"2,847,842","4,616"
45,Screenshot_20250618-233703.png,WKevingg,"2,842,707","3,851"
46,Screenshot_20250618-233708.png,0GMerak,"2,824,610","3,229"
47,Screenshot_20250618-233714.png,Daniel,"2,732,965","2,242"
48,Screenshot_20250618-233722.png,zw Ararizz,"2,659,110","2,876"
49,Screenshot_20250618-233729.png,ORdi0b3sti:,"2,563,252","1,098"
50,Screenshot_20250618-233735.png,Amfetreor,"2,593,840","1,169"
51,Screenshot_20250618-233740.png,iDADY,"2,470,602","3,585"
52,Screenshot_20250618-233744.png,OLD Os,"2,517,788","1,116"
53,Screenshot_20250618-233750.png,Adabeyi,"2,320,609","2,109"
54,Screenshot_20250618-233827.png,Treasure A,"2,279,167","3,278"
55,Screenshot_20250618-233832.png,=W Jawirfar,"2,784,674","4,573"
56,Screenshot_20250618-233837.png,Ptb BoySs,"2,664,577","2,600"
57,Screenshot_20250618-233842.png,Candy cha,"2,550,007","4,471"
58,Screenshot_20250618-233850.png,FaisalO,"2,594,690","2,074"
59,Screenshot_20250618-233856.png,Mbd gee,"2,540,845","1,409"
60,Screenshot_20250618-233901.png,Habibi,"2,491,945","3,601"
61,Screenshot_20250618-233906.png,VWKCoringa,"2,404,012","2,651"
62,Screenshot_20250618-233910.png,QuanevVinl,"2,472,815","1,209"
63,Screenshot_20250618-233914.png,Eli3sk,"2,388,861","2,024"
64,Screenshot_20250618-233919.png,7WMoweli,"2,356,233","1,126"
65,Screenshot_20250618-233925.png,OxTom,"2,353,946","4,670"
66,Screenshot_20250618-233932.png,DA KleinX,"2,327,622","2,088"
67,Screenshot_20250618-233939.png,Brancs,"2,224,185","2,073"
68,Screenshot_20250618-233945.png,dunegxface,"2,270,717","4,310"
69,Screenshot_20250618-233951.png,Zip1113,"2,167,315","2,325"
70,Screenshot_20250618-233956.png,DillyDabr,"2,154,086","1,108"
71,Screenshot_20250618-234002.png,F1SH PH,"2,125,980",897
72,Screenshot_20250618-234006.png,DAflaming«,"2,138,071","3,515"
73,Screenshot_20250618-234011.png,Rayes,"2,121,622","3,875"
74,Screenshot_20250618-234015.png,kises,"2,103,532","1,953"
75,Screenshot_20250618-234020.png,skashiboss,"2,055,163","2,886"
76,Screenshot_20250618-234024.png,Zaencuko\,"1,407,110","1,089"
77,Screenshot_20250618-234029.png,shankis,"2,063,950","1,437"
78,Screenshot_20250618-234033.png,THOR Br,"1,978,825","1,247"
